category,type,date,impressions,clicks,cost_micros
Feeditem,Callout,2022-03-03,964121,154379,17575340102539
Feeditem,Callout,2022-03-04,776239,113219,16367073986274
Feeditem,Callout,2022-03-05,626700,87115,9102301048358
Feeditem,Callout,2022-03-06,681606,98675,9398992508086
Feeditem,Callout,2022-03-07,837220,118469,20728064392562
Feeditem,Callout,2022-03-08,804749,115542,19287847607138
Feeditem,Callout,2022-03-09,816077,119156,19587837407039
Feeditem,Callout,2022-03-10,640452,101892,4237442392623
Feeditem,Callout,2022-03-11,569863,94209,772526238819
Feeditem,Callout,2022-03-12,552587,89326,624302611233
Feeditem,Callout,2022-03-13,589965,98617,544373621705
Feeditem,Callout,2022-03-14,669639,111068,933145743399
Feeditem,Callout,2022-03-15,652367,111163,841991866231
Feeditem,Callout,2022-03-16,647432,109701,902190797004
Feeditem,Callout,2022-03-17,625170,101541,911991669623
Feeditem,Callout,2022-03-18,615611,99099,758818722541
Feeditem,Callout,2022-03-19,549493,89387,570231048432
Feeditem,Callout,2022-03-20,623970,102272,545027426842
Feeditem,Callout,2022-03-21,703254,115681,791514319139
Feeditem,Callout,2022-03-22,686551,112492,938029907953
Feeditem,Callout,2022-03-23,685064,112178,1063442571659
Feeditem,Callout,2022-03-24,644978,107185,854573348877
Feeditem,Callout,2022-03-25,593257,97927,822205028602
Feeditem,Callout,2022-03-26,545254,87442,720011197893
Feeditem,Callout,2022-03-27,545878,88371,756930094771
Feeditem,Callout,2022-03-28,672049,110664,1151147893868
Feeditem,Callout,2022-03-29,666218,109383,1003048632290
Feeditem,Callout,2022-03-30,644638,107458,1063539195700
Feeditem,Callout,2022-03-31,588602,98303,1033764710087
Feeditem,Callout,2022-04-01,550146,94287,754155945339
Feeditem,Callout,2022-04-02,489715,84834,684185782898
Feeditem,Callout,2022-04-03,531399,92399,665422156000
Feeditem,Callout,2022-04-04,649868,111046,867243438325
Feeditem,Callout,2022-04-05,640240,109106,910760417034
Feeditem,Callout,2022-04-06,643590,106826,1011335238281
Feeditem,Callout,2022-04-07,628712,106198,1045217578642
Feeditem,Callout,2022-04-08,603311,100702,697474421455
Feeditem,Callout,2022-04-09,554074,92491,627082970191
Feeditem,Callout,2022-04-10,560136,92582,623039128257
Feeditem,Callout,2022-04-11,636571,105638,932665166536
Feeditem,Callout,2022-04-12,161303,33393,88942256987
Feeditem,Image,2022-01-01,12083527,307370,2403817418580
Feeditem,Image,2022-01-02,9790450,346572,3508944928565
Feeditem,Image,2022-01-03,3163593,320098,3747636108643
Feeditem,Image,2022-01-04,3804061,310137,3571702174510
Feeditem,Image,2022-01-05,8654349,334911,3613115045425
Feeditem,Image,2022-01-06,7683936,313301,2619103541808
Feeditem,Image,2022-01-07,9757591,294468,2083077479876
Feeditem,Image,2022-01-08,17631452,581298,3651653102264
Feeditem,Image,2022-01-09,17837418,658637,4168050476217
Feeditem,Image,2022-01-10,16221870,602059,3946699847234
Feeditem,Image,2022-01-11,17157407,587462,3242087566715
Feeditem,Image,2022-01-12,17698167,580241,2973222688615
Feeditem,Image,2022-01-13,17565172,603072,3799647831238
Feeditem,Image,2022-01-14,20487347,668765,6885646166983
Feeditem,Image,2022-01-15,21501170,726829,4860910560492
Feeditem,Image,2022-01-16,20549801,663276,5435964891045
Feeditem,Image,2022-01-17,19940319,717169,6690680219368
Feeditem,Image,2022-01-18,19168212,702703,6338045764569
Feeditem,Image,2022-01-19,20079389,700722,7113561914770
