field_type,date,impressions_sum_sum,clicks_sum_sum,cost_micros_sum_sum
Promotion,2022-01-17,139,46,22760000
Promotion,2022-01-18,104,43,26560000
Promotion,2022-01-19,102,43,23140000
Promotion,2022-01-20,123,48,21340000
Promotion,2022-01-21,129,50,18110000
Promotion,2022-01-22,125,51,17070000
Promotion,2022-01-23,168,72,39970000
Promotion,2022-01-24,250,118,58050000
Promotion,2022-01-25,204,89,29950000
Promotion,2022-01-26,259,116,27450000
Promotion,2022-01-27,255,97,31370000
Promotion,2022-01-28,222,98,39060000
Promotion,2022-01-29,218,115,33510000
Promotion,2022-01-30,256,119,41600000
Promotion,2022-01-31,152,45,16820000
Promotion,2022-02-01,119,42,16070000
Promotion,2022-02-02,164,60,29140000
Promotion,2022-02-03,167,66,34980000
Promotion,2022-02-04,100,46,16950000
Promotion,2022-02-05,135,50,24620000
Promotion,2022-02-06,150,56,31010000
Promotion,2022-02-07,1027,82,54550279
Promotion,2022-02-08,1867,310,88719418
Promotion,2022-02-09,1921,270,119407840
Promotion,2022-02-10,4531,948,2671404607
Promotion,2022-02-11,4560,1062,2938371496
Promotion,2022-02-12,4457,986,2017970000
Promotion,2022-02-13,4751,994,1886401678
Promotion,2022-02-14,5537,1141,3238282114
Promotion,2022-02-15,6093,1297,3642320000
Promotion,2022-02-16,12274,2248,5746148228
Promotion,2022-02-17,27291,3918,13458511541
Promotion,2022-02-18,23145,3613,11613810199
Promotion,2022-02-19,18654,3183,9455430548
Promotion,2022-02-20,20677,3372,9677799179
Promotion,2022-02-21,31283,5062,18761219993
Promotion,2022-02-22,33353,5271,19042022968
Promotion,2022-02-23,29872,4625,17213029743
Promotion,2022-02-24,25304,3774,12050399978
Promotion,2022-02-25,20248,3165,9464733784
Promotion,2022-02-26,14740,2430,6242850000
Promotion,2022-02-27,16783,2777,7134922585
Promotion,2022-02-28,27561,4053,13149257203
Promotion,2022-03-01,28204,4055,13934954892
Promotion,2022-03-02,28018,4106,13835307223
Promotion,2022-03-03,100703,6555,15134181322
Promotion,2022-03-04,86486,5532,11861058790
Promotion,2022-03-05,96781,5412,8955526142
Promotion,2022-03-06,109186,6177,10615540000
Promotion,2022-03-07,102727,7313,17981109353
Promotion,2022-03-08,96477,6400,15319730974
Promotion,2022-03-09,105668,7561,16390590000
Promotion,2022-03-10,103440,7096,15528327225
Promotion,2022-03-11,102372,6418,12965742076
Promotion,2022-03-12,29066,4145,10284044945
Promotion,2022-03-13,28656,4273,10075470000
Promotion,2022-03-14,43653,5894,16698298358
Promotion,2022-03-15,31781,5180,15515454550
Promotion,2022-03-16,31068,4945,15007870000
Promotion,2022-03-17,54833,5544,14158356940
Promotion,2022-03-18,82785,6354,13642103602
Promotion,2022-03-19,92075,5877,9659774848
Promotion,2022-03-20,105192,6964,10598969452
Promotion,2022-03-21,93667,7293,17091764872
Promotion,2022-03-22,80853,7157,19251231983
Promotion,2022-03-23,95187,7484,19137661884
Promotion,2022-03-24,84947,6624,16026056852
Promotion,2022-03-25,81362,5078,9116890000
Promotion,2022-03-26,81629,5247,7991375530
Promotion,2022-03-27,96572,7117,9210682082
Promotion,2022-03-28,80326,6351,11960509300
Promotion,2022-03-29,38133,4795,11331940000
Promotion,2022-03-30,38956,4801,10807732143
Promotion,2022-03-31,37360,4624,9997480996
Promotion,2022-04-01,29372,3801,9301393260
Promotion,2022-04-02,21370,3034,5985572774
Promotion,2022-04-03,24821,3579,7110105172
